AREA REPORT

GERACAO
AREA;GERACAO;DEMANDA;BARRAS
511;0;1023.0;0;0;0;0;0;0;1023.0
302;0;0;0.0;0;0;0;0;0;0.0
252;0;0;400.0;0;0;0;0;0;400.0
201;0;0;0;0;0;0;0;0;0
240;0;5800.0;0;0;0;0;0;0;5800.0
101;0;3092.0;0;0;0;0;0;0;3092.0
241;0;4771.0;0;0;0;0;0;0;4771.0
256;0;0;105.0;0;0;0;0;43.490399999999994;148.4904
205;0;427.0;125.0;0;0;0;0;0;552.0
359;0;193.0;0;0;0;27.200000000000003;0;177.09680000000003;397.2968000000001
207;0.0;180.0;0;0;0;0;162.6;190.31320000000008;532.9131999999996
258;0;11.1;0;0;0;0;0;15.7;26.799999999999997
259;0;0;0.0;8.2;0;9.8;0;26.886200000000006;44.8862
304;0;0;318.4;0;0;0;0;23.8456;342.24559999999997
214;0;0;0;0;0;0;0;0;0
358;0;931.0;0.0;0;131.7;0;0.0;375.034;1437.7340000000004
563;0;0;0;0;0;0;0;0;0
562;0;0;0;0;0;0;0;0;0
564;0;165.0;0;0;0;21.8;0;217.592;404.39200000000005
353;0;268.0;0;0;387.59999999999997;0;0;0;655.6
561;0;0;0;0;0;0;0;0;0
517;0;151.0;63.1;0;0;32.0;32.9;120.21379999999998;399.21380000000005
518;0;0;0;0;0;0;17.8;93.4417;111.24170000000001
253;0;0;0;0;0;0;0;0;0
257;0;121.0;0;0;0;22.8;0;12.249100000000002;156.04910000000004
213;0;25.0;0;0;0;21.3;0;7.6000000000000005;53.900000000000006
363;0;0;0;0;0;0;252.70000000000002;225.14460000000003;477.8445999999999
355;0;60.0;0.0;0;0;1.9;0;113.82609999999998;175.72609999999995
354;0;0;3.0;0;0;5.0;5.9;186.162;200.062
356;0;143.0;0.0;0;633.5999999999999;12.1;0;335.23999999999995;1123.9399999999996
357;0;22.0;0;0;0;28.200000000000003;0;171.38950000000003;221.58950000000004
360;0.0;0;0;0;0;0.0;11.7;153.932;165.632
212;0;0;0.0;0;0;0;0;94.45200000000001;94.45200000000001
209;0;552.0;0.0;0;332.9;0;398.59999999999997;294.47300000000007;1577.9730000000002
203;0;5283.0;0;0;0;0;0;0;5283.0
211;0;0;0;0;0;1.5;96.0;83.791;181.29099999999997
206;0;87.0;0;0;0;0;0;18.900000000000006;105.89999999999999
210;0;389.0;0;0;34.0;0;307.90000000000003;55.569;786.4690000000002
402;0;0;0;0;0;0;0;0;0
216;0;0;0;0;0;0;0;0;0
515;0;0;48.0;0;0;14.7;0.0;285.77230000000003;348.4723000000001
519;0;0;0;0;0;0;0;0.1;0.1
102;0;945.0;0.0;0;0;6.0;0;0;951.0
103;0;76.0;46.86;0;0;23.5;20.0;1355.4346000000005;1521.7946000000004
51;0;1369.0;0;0;0;0;0;0;1369.0
53;0;160.0;1.7;38.8;0;0;0;1121.2390999999996;1321.7390999999998
52;0;867.0;630.0;0;0;0;0;0;1497.0
2;0;201.0;320.0;160.79999999999998;0;24.199999999999996;0;0;706.0000000000001
403;0;35.0;15.0;0;0;133.7;0;548.8810000000001;732.5810000000001
3;0;119.0;0.0;243.70000000000002;0;10.7;0;1401.9324000000008;1775.3324000000002
